time,wx,wy,wz
3.220,0.01,0.02,-0.01
3.237,-0.01,0.03,0.00
3.253,-0.02,0.04,0.01
3.270,-0.02,0.05,0.01
3.304,-0.00,0.04,-0.01
3.320,0.01,0.04,-0.01
3.337,0.02,0.06,-0.01
3.354,0.02,0.06,-0.02
3.370,0.01,0.06,-0.02
3.387,0.01,0.06,-0.01
3.404,0.01,0.06,-0.01
3.420,0.01,0.06,0.00
3.437,0.00,0.05,0.01
3.453,-0.01,0.06,0.01
3.470,-0.02,0.07,0.01
3.487,-0.02,0.09,0.00
3.504,-0.02,0.10,-0.00
3.520,-0.01,0.09,-0.01
3.537,0.00,0.08,-0.01
3.553,0.01,0.06,-0.01
3.570,0.01,0.06,-0.01
3.587,-0.00,0.06,-0.01
3.604,-0.01,0.06,-0.01
3.620,-0.01,0.05,-0.00
3.637,-0.01,0.04,-0.00
3.653,-0.01,0.03,-0.00
3.670,-0.01,0.03,0.00
3.687,-0.01,0.04,-0.00
3.704,-0.02,0.05,-0.00
3.720,-0.02,0.05,-0.00
3.737,-0.01,0.04,-0.01
3.753,-0.02,0.01,-0.00
3.770,-0.03,-0.01,-0.00
3.787,-0.03,-0.02,-0.00
3.804,-0.03,-0.02,-0.00
3.820,-0.03,-0.02,-0.00
3.837,-0.03,-0.04,0.00
3.853,-0.02,-0.08,-0.00
3.887,-0.01,-0.07,-0.00
3.904,-0.00,-0.05,-0.01
3.920,0.00,-0.04,-0.00
3.953,-0.01,-0.04,0.01
3.970,-0.02,-0.04,0.01
3.987,-0.02,-0.03,0.01
4.004,-0.02,-0.01,0.00
4.020,-0.02,0.01,0.00
4.037,-0.02,0.02,-0.01
4.053,-0.02,0.02,-0.01
4.070,-0.02,0.02,-0.01
4.087,-0.01,0.01,-0.01
4.104,-0.02,0.01,-0.01
4.124,-0.02,0.02,-0.01
4.137,-0.01,0.03,-0.02
4.153,-0.01,0.03,-0.02
4.170,-0.01,0.02,-0.02
4.187,-0.01,0.01,-0.02
4.204,-0.01,0.01,-0.02
4.220,-0.01,0.02,-0.02
4.237,-0.02,0.03,-0.01
4.253,-0.02,0.03,-0.01
4.270,-0.02,0.03,-0.01
4.287,-0.02,0.03,-0.02
4.304,-0.02,0.02,-0.02
4.320,-0.01,0.01,-0.02
4.337,-0.01,-0.01,-0.02
4.353,0.00,-0.02,-0.01
4.370,0.00,-0.02,-0.01
4.386,-0.01,-0.02,-0.02
4.404,-0.01,-0.01,-0.01
4.420,-0.01,-0.01,-0.02
4.437,-0.01,-0.00,-0.02
4.470,-0.01,-0.01,-0.01
4.487,-0.01,-0.03,-0.01
4.504,-0.01,-0.02,-0.01
4.537,-0.01,-0.02,-0.01
4.553,-0.02,-0.03,-0.01
4.570,-0.02,-0.03,-0.01
4.587,-0.01,-0.02,-0.01
4.604,-0.01,-0.01,-0.01
4.620,-0.01,-0.01,-0.01
4.637,-0.01,-0.01,-0.01
4.653,-0.00,-0.01,-0.01
4.670,0.00,-0.01,-0.01
4.687,-0.00,-0.00,-0.01
4.704,-0.00,0.01,-0.01
4.720,0.00,0.01,-0.00
4.736,0.00,0.01,0.00
4.753,0.01,0.01,0.00
4.770,0.00,0.01,0.00
4.787,-0.00,0.01,0.00
4.804,-0.00,-0.00,-0.00
4.820,-0.00,-0.00,-0.01
4.837,-0.00,0.00,-0.01
4.853,-0.01,0.01,-0.01
4.870,-0.01,0.02,-0.01
4.887,-0.00,0.02,-0.01
4.904,-0.00,0.02,-0.00
4.920,-0.00,0.01,-0.00
4.937,0.01,-0.01,-0.00
4.953,0.01,-0.02,0.00
4.970,0.00,-0.02,-0.00
4.987,-0.00,0.00,-0.00
5.004,-0.00,0.03,-0.01
5.020,0.00,0.04,-0.01
5.053,0.00,0.01,-0.01
5.070,0.00,0.02,-0.01
5.087,0.00,0.03,-0.00
5.120,0.00,0.01,-0.00
5.137,0.00,0.00,-0.00
5.153,0.00,0.01,-0.00
5.170,0.01,0.00,-0.00
5.187,0.01,-0.00,0.00
5.203,0.01,-0.02,0.00
5.220,0.00,-0.01,-0.00
5.237,0.01,0.00,-0.00
5.253,0.01,0.01,-0.00
5.270,0.00,0.01,-0.01
5.287,-0.01,0.01,-0.01
5.304,-0.00,0.01,-0.00
5.320,0.00,0.01,-0.00
5.337,0.00,0.00,0.00
5.353,0.00,-0.00,0.00
5.370,-0.01,0.00,0.00
5.387,-0.01,0.02,-0.00
5.403,0.00,0.03,-0.00
5.420,0.01,0.04,-0.01
5.437,-0.00,0.04,-0.01
5.453,-0.01,0.04,-0.01
5.470,-0.01,0.07,-0.01
5.487,0.00,0.10,-0.01
5.504,0.01,0.12,-0.01
5.520,0.01,0.12,-0.01
5.537,0.01,0.11,-0.01
5.553,0.01,0.09,-0.01
5.570,0.01,0.09,-0.01
5.587,0.01,0.10,-0.01
5.603,0.01,0.11,-0.02
5.620,0.00,0.11,-0.02
5.637,0.00,0.10,-0.01
5.653,-0.00,0.09,-0.01
5.670,0.02,0.04,-0.02
5.703,0.02,-0.05,-0.01
5.720,0.02,-0.10,-0.00
5.737,0.02,-0.14,0.01
5.770,-0.00,-0.18,0.02
5.786,-0.01,-0.18,0.02
5.803,-0.01,-0.18,0.01
5.820,-0.01,-0.17,0.00
5.837,-0.01,-0.15,-0.00
5.853,-0.01,-0.13,-0.00
5.870,-0.01,-0.12,-0.00
5.887,-0.01,-0.11,0.00
5.903,-0.01,-0.11,0.01
5.920,-0.01,-0.11,0.01
5.936,-0.00,-0.12,0.02
5.953,0.00,-0.11,0.01
5.970,0.01,-0.07,0.00
5.987,0.01,-0.03,-0.01
6.003,0.00,0.02,-0.02
6.020,-0.00,0.05,-0.02
6.037,-0.00,0.07,-0.02
6.053,-0.01,0.08,-0.02
6.070,-0.01,0.08,-0.01
6.087,-0.01,0.08,-0.01
6.103,-0.01,0.07,-0.00
6.120,-0.01,0.06,-0.00
6.137,-0.01,0.07,-0.00
6.153,-0.00,0.08,-0.00
6.170,0.00,0.09,-0.01
6.187,0.00,0.10,-0.01
6.204,0.00,0.10,-0.01
6.223,0.01,0.09,-0.01
6.236,0.01,0.07,-0.01
6.253,0.02,0.04,-0.01
6.287,0.02,0.03,-0.01
6.303,-0.01,0.03,-0.00
6.320,-0.01,0.03,-0.00
6.353,-0.01,0.02,-0.01
6.370,-0.01,0.01,-0.01
6.387,-0.01,0.00,-0.02
6.404,-0.00,-0.00,-0.02
6.420,0.00,-0.01,-0.02
6.437,0.01,-0.02,-0.02
6.453,0.00,-0.03,-0.02
6.470,-0.01,-0.03,-0.02
6.487,-0.02,-0.03,-0.02
6.503,-0.02,-0.02,-0.02
6.520,-0.02,0.01,-0.02
6.537,-0.02,0.02,-0.02
6.553,-0.01,0.02,-0.02
6.570,-0.00,0.01,-0.02
6.587,-0.00,-0.01,-0.02
6.604,-0.01,-0.01,-0.02
6.620,-0.01,-0.00,-0.02
6.637,-0.01,0.01,-0.02
6.653,-0.02,0.02,-0.02
6.670,-0.03,0.02,-0.02
6.687,-0.04,0.03,-0.02
6.703,-0.05,0.05,-0.02
6.720,-0.05,0.06,-0.02
6.737,-0.05,0.07,-0.02
6.753,-0.04,0.08,-0.03
6.770,-0.04,0.08,-0.03
6.787,-0.03,0.07,-0.03
6.803,-0.02,0.07,-0.02
6.820,-0.02,0.07,-0.02
6.837,-0.02,0.08,-0.01
6.870,-0.02,0.09,-0.01
6.887,-0.02,0.12,-0.03
6.903,-0.02,0.14,-0.02
6.937,-0.01,0.12,-0.01
6.953,-0.01,0.09,0.00
6.970,-0.02,0.06,0.01
6.987,-0.02,0.04,0.01
7.003,-0.02,0.02,0.01
7.020,-0.02,0.03,-0.00
7.037,-0.03,0.07,-0.01
7.053,-0.03,0.11,-0.03
7.070,-0.02,0.12,-0.03
7.087,-0.01,0.09,-0.02
7.103,0.00,0.03,-0.01
7.120,-0.00,-0.01,-0.00
7.137,-0.01,-0.02,0.00
7.153,-0.01,0.00,0.00
7.170,-0.01,0.03,0.00
7.187,-0.01,0.03,0.00
7.203,-0.00,0.01,0.00
7.220,0.01,-0.01,-0.00
7.237,0.01,-0.02,-0.00
7.253,0.02,-0.01,-0.00
7.273,0.02,-0.01,-0.00
7.287,0.01,-0.02,-0.00
7.302,0.00,-0.01,-0.00
7.320,-0.01,-0.00,-0.00
7.337,-0.02,0.01,-0.01
7.353,-0.02,0.02,-0.01
7.370,-0.01,0.01,-0.01
7.387,-0.01,-0.00,-0.01
7.402,-0.00,-0.01,-0.00
7.420,-0.01,-0.02,-0.00
7.453,-0.01,-0.00,-0.01
7.470,-0.00,0.02,-0.01
7.487,0.00,0.01,-0.00
7.520,-0.00,-0.00,0.01
7.537,-0.01,-0.00,0.00
7.553,-0.00,-0.00,0.00
7.570,0.00,0.00,0.00
7.587,0.01,0.00,-0.01
7.603,0.01,0.01,-0.01
7.620,0.01,0.02,-0.01
7.637,0.00,0.03,-0.01
7.653,-0.00,0.03,-0.00
7.670,-0.01,0.01,0.00
7.687,-0.01,-0.01,0.00
7.703,-0.00,-0.02,0.00
7.720,-0.00,-0.01,-0.00
7.737,-0.00,-0.00,-0.01
7.753,-0.00,0.01,-0.01
7.769,-0.01,0.01,-0.01
7.787,-0.01,-0.00,-0.01
7.803,-0.01,-0.03,0.01
7.820,-0.01,-0.06,0.02
7.837,-0.01,-0.08,0.02
7.853,-0.00,-0.09,0.03
7.870,0.01,-0.08,0.02
7.887,0.03,-0.06,0.02
7.903,0.03,-0.04,0.01
7.920,0.03,-0.03,0.01
7.937,0.03,-0.03,0.01
7.953,0.02,-0.01,0.01
7.970,0.01,0.00,0.01
7.987,-0.00,0.02,0.00
8.003,-0.01,0.05,0.00
8.020,-0.01,0.06,-0.00
8.036,-0.01,0.06,-0.00
8.053,-0.01,0.06,-0.00
8.070,-0.00,0.05,-0.01
8.103,-0.01,0.05,-0.02
8.120,-0.00,0.04,-0.02
8.137,-0.00,0.02,-0.02
8.170,-0.01,-0.01,-0.01
8.187,-0.01,-0.02,-0.00
8.203,-0.01,-0.02,0.00
8.220,-0.00,-0.03,0.00
8.237,0.00,-0.04,0.01
8.253,0.01,-0.05,0.00
8.270,0.01,-0.04,0.00
8.286,0.01,-0.03,0.00
8.303,0.00,-0.03,0.00
8.322,0.00,-0.03,0.01
8.337,-0.00,-0.03,0.01
8.353,-0.01,-0.03,0.01
8.370,-0.02,-0.03,0.01
8.387,-0.02,-0.02,0.01
8.403,-0.02,-0.03,0.01
8.419,-0.01,-0.04,0.00
8.437,-0.00,-0.04,-0.00
8.453,-0.01,-0.02,-0.01
8.470,-0.00,-0.00,-0.01
8.487,-0.00,0.01,-0.01
8.503,-0.01,0.01,-0.01
8.520,-0.02,0.02,-0.01
8.537,-0.02,0.03,-0.00
8.553,-0.02,0.04,-0.00
8.570,-0.02,0.05,-0.00
8.587,-0.02,0.05,-0.00
8.603,-0.02,0.05,0.00
8.620,-0.01,0.06,-0.00
8.637,-0.01,0.07,-0.00
8.653,-0.00,0.07,-0.01
8.687,-0.00,0.07,-0.01
8.703,-0.02,0.07,-0.01
8.719,-0.02,0.08,-0.01
8.753,-0.03,0.09,-0.01
8.770,-0.05,0.10,-0.01
8.787,-0.06,0.11,-0.01
8.803,-0.05,0.10,-0.01
8.820,-0.02,0.08,-0.00
8.837,-0.01,0.05,-0.00
8.853,-0.00,0.03,-0.00
8.870,-0.01,0.02,-0.00
8.887,-0.01,0.05,-0.00
8.903,-0.02,0.07,-0.01
8.920,-0.02,0.09,-0.01
8.936,-0.01,0.09,-0.01
8.953,-0.01,0.08,-0.01
8.970,-0.00,0.07,-0.01
8.987,-0.00,0.07,-0.00
9.003,-0.00,0.07,-0.01
9.020,-0.00,0.08,-0.01
9.037,-0.00,0.09,-0.01
9.053,-0.01,0.09,-0.01
9.069,-0.01,0.09,-0.01
9.087,-0.00,0.09,-0.01
9.103,0.00,0.09,-0.01
9.120,0.00,0.08,-0.01
9.137,0.00,0.08,-0.01
9.153,0.00,0.09,-0.00
9.169,0.00,0.09,-0.00
9.187,0.00,0.10,0.00
9.203,0.01,0.10,0.00
9.220,0.01,0.10,0.01
9.237,0.02,0.07,0.01
9.270,0.02,0.06,0.01
9.287,0.02,0.03,0.01
9.303,0.02,0.01,0.00
9.337,0.01,0.00,0.00
9.353,0.01,-0.00,0.00
9.373,0.01,-0.02,0.00
9.387,0.01,-0.04,-0.00
9.403,0.01,-0.05,-0.00
9.420,0.00,-0.05,-0.00
9.437,0.00,-0.05,-0.00
9.453,0.00,-0.05,-0.00
9.470,0.01,-0.07,0.00
9.487,0.01,-0.09,0.01
9.503,0.02,-0.10,0.01
9.520,0.02,-0.11,0.01
9.537,0.02,-0.10,0.01
9.553,0.03,-0.07,0.00
9.570,0.03,-0.05,0.00
9.587,0.02,-0.04,-0.00
9.603,0.02,-0.04,-0.01
9.620,0.01,-0.04,-0.01
9.637,0.01,-0.05,-0.01
9.653,0.01,-0.06,-0.01
9.670,0.01,-0.05,-0.01
9.687,0.01,-0.04,-0.01
9.703,0.02,-0.02,-0.00
9.720,0.01,0.00,0.00
9.737,-0.00,0.01,0.01
9.752,-0.01,0.01,0.00
9.770,-0.00,0.02,-0.00
9.787,0.01,0.02,-0.01
9.803,0.02,0.02,-0.02
9.820,0.03,0.00,-0.01
9.853,0.02,-0.00,-0.00
9.870,0.00,0.01,0.00
9.887,-0.00,0.03,0.00
9.920,0.00,0.02,-0.00
9.937,0.01,0.01,-0.00
9.953,0.01,0.00,-0.00
9.970,0.02,-0.01,0.00
9.987,0.02,-0.02,0.00
10.003,0.02,-0.03,0.00
10.020,0.01,-0.02,0.01
10.037,0.01,-0.02,0.00
10.053,0.01,-0.00,-0.00
10.070,0.00,0.01,-0.00
10.087,0.00,0.02,-0.00
10.103,-0.00,0.03,-0.00
10.120,0.00,0.04,-0.00
10.137,0.00,0.05,-0.00
10.153,0.01,0.06,0.00
10.170,0.00,0.06,0.00
10.187,-0.00,0.07,0.00
10.203,-0.00,0.07,-0.00
10.220,-0.00,0.08,0.00
10.237,-0.00,0.09,-0.00
10.253,-0.00,0.11,-0.01
10.270,-0.01,0.12,-0.01
10.287,-0.01,0.12,-0.01
10.303,-0.01,0.12,-0.01
10.320,-0.01,0.11,-0.00
10.337,-0.01,0.10,-0.00
10.353,-0.01,0.10,-0.00
10.370,-0.00,0.09,-0.00
10.387,-0.00,0.09,-0.00
10.403,-0.00,0.08,-0.00
10.421,0.00,0.06,-0.00
10.437,0.01,0.05,-0.00
10.453,0.00,0.05,-0.00
10.470,-0.01,0.04,-0.01
10.503,-0.01,0.05,-0.01
10.520,-0.02,0.05,-0.00
10.537,-0.02,0.02,0.00
10.570,-0.01,-0.04,0.01
10.587,-0.00,-0.06,0.01
10.603,0.00,-0.06,0.00
10.620,-0.00,-0.05,0.00
