time,ax,ay,az,atotal
1.457,5.49,2.14,-0.83,5.94
1.467,5.48,2.63,0.28,6.08
1.477,4.75,2.26,-0.31,5.27
1.487,3.42,1.75,-1.03,3.98
1.497,1.74,2.17,-0.41,2.81
1.507,1.23,1.98,-0.18,2.34
1.517,1.59,1.59,-0.64,2.34
1.527,1.74,1.38,-0.63,2.31
1.537,0.68,1.27,-0.06,1.44
1.547,-1.04,1.32,0.27,1.70
1.557,-2.75,1.10,0.49,3.00
1.567,-4.47,0.76,0.83,4.60
1.577,-6.24,0.21,0.88,6.31
1.587,-7.40,-0.32,1.04,7.48
1.597,-7.89,-0.68,1.30,8.02
1.607,-7.99,-0.74,1.46,8.16
1.617,-7.76,-0.70,1.46,7.93
1.627,-7.71,-0.98,1.59,7.93
1.637,-7.83,-1.06,1.50,8.04
1.647,-8.06,-1.01,1.55,8.27
1.657,-8.08,-1.03,1.68,8.32
1.667,-7.92,-0.93,1.55,8.13
1.677,-7.61,-0.58,1.37,7.76
1.687,-7.23,-0.13,1.06,7.31
1.696,-6.88,0.13,0.50,6.90
1.706,-6.75,0.16,-0.18,6.75
1.716,-6.16,-0.17,-1.31,6.30
1.726,-4.98,-0.69,-2.42,5.58
1.736,-3.64,-0.70,-3.20,4.90
1.746,-2.35,-0.27,-3.72,4.41
1.756,-1.74,-0.56,-3.65,4.08
1.766,-0.24,0.05,-4.19,4.19
1.776,1.29,3.33,-4.75,5.95
1.786,1.26,3.42,-2.62,4.49
1.796,1.71,2.60,-0.67,3.18
1.806,3.58,0.30,1.54,3.91
1.816,7.33,-6.03,1.46,9.61
1.826,7.67,-11.77,-0.83,14.07
1.837,7.24,-17.22,0.27,18.69
1.847,7.97,-18.94,0.62,20.56
1.856,6.08,-18.65,1.71,19.69
1.866,1.90,-17.33,5.47,18.27
1.876,-2.30,-13.62,8.24,16.08
1.886,-4.19,-8.64,7.94,12.46
1.896,-4.24,-3.20,4.51,6.97
1.906,-2.44,0.99,2.20,3.43
1.916,-0.65,3.30,1.14,3.56
1.926,-0.13,4.79,0.30,4.80
1.936,-0.16,5.55,-0.18,5.56
1.946,-0.36,5.66,-0.44,5.69
1.956,-0.59,5.04,-0.48,5.10
1.966,-0.95,3.60,-0.34,3.74
1.976,-1.41,1.70,-0.00,2.21
1.986,-1.75,0.00,0.27,1.77
1.996,-1.80,-1.38,0.20,2.28
2.006,-1.70,-1.95,0.35,2.62
2.016,-1.44,-1.97,0.50,2.49
2.026,-1.12,-1.66,0.72,2.13
2.036,-0.71,-0.97,0.75,1.42
2.046,-0.43,-0.23,0.66,0.82
2.056,-0.16,0.23,0.52,0.59
2.066,0.07,0.32,0.38,0.50
2.076,0.21,0.30,0.17,0.40
2.086,0.27,0.21,-0.14,0.37
2.096,0.38,0.25,-1.15,1.24
2.106,0.71,-0.14,-3.84,3.91
2.115,0.78,-0.60,-4.11,4.22
2.126,0.66,-0.48,-2.19,2.34
2.136,0.57,-0.70,-0.34,0.97
2.146,0.43,-0.58,0.75,1.04
2.155,0.52,-0.31,1.02,1.19
2.166,0.71,-0.04,0.78,1.06
2.175,0.65,0.16,0.49,0.83
2.185,0.33,0.28,0.28,0.52
2.195,-0.00,0.28,0.17,0.32
2.205,-0.25,0.20,0.10,0.34
2.215,-0.36,0.12,0.05,0.39
2.225,-0.29,0.04,0.03,0.29
2.235,-0.10,-0.05,0.05,0.12
2.245,0.11,-0.11,0.08,0.18
2.255,0.32,-0.08,0.13,0.36
2.265,0.42,-0.04,0.15,0.45
2.275,0.35,-0.00,0.21,0.40
2.285,0.22,-0.01,0.29,0.36
2.295,0.19,0.03,0.28,0.34
2.305,0.23,0.10,0.17,0.30
2.315,0.17,0.12,0.08,0.22
2.325,0.00,0.09,-0.00,0.09
2.335,-0.12,0.06,-0.00,0.14
2.345,-0.14,0.04,0.04,0.15
2.355,-0.08,-0.02,0.12,0.15
2.365,-0.04,-0.06,0.18,0.19
2.375,-0.05,-0.08,0.20,0.22
2.385,-0.09,-0.10,0.20,0.24
2.395,-0.14,-0.07,0.18,0.23
2.405,-0.19,-0.04,0.16,0.25
2.415,-0.24,-0.02,0.13,0.28
2.425,-0.32,0.00,0.13,0.34
2.435,-0.35,0.00,0.13,0.37
2.445,-0.38,-0.02,0.15,0.41
2.455,-0.38,-0.03,0.17,0.42
2.465,-0.37,-0.04,0.20,0.42
2.475,-0.34,-0.02,0.23,0.42
2.485,-0.29,0.02,0.26,0.39
2.495,-0.24,0.03,0.27,0.36
2.505,-0.18,0.02,0.27,0.32
2.515,-0.10,0.01,0.26,0.28
2.525,-0.00,-0.01,0.26,0.26
2.535,0.09,-0.01,0.26,0.28
2.545,0.17,-0.02,0.24,0.29
2.555,0.24,-0.03,0.22,0.33
2.565,0.29,-0.05,0.20,0.36
2.575,0.31,-0.04,0.15,0.35
2.585,0.30,-0.04,0.10,0.32
2.595,0.31,-0.02,0.02,0.31
2.605,0.28,0.00,-0.04,0.28
2.615,0.23,0.00,-0.11,0.26
2.625,0.19,-0.01,-0.15,0.24
2.635,0.14,-0.03,-0.17,0.23
2.644,0.09,-0.06,-0.19,0.22
2.654,0.06,-0.06,-0.19,0.21
2.664,0.02,-0.07,-0.17,0.19
2.674,0.02,-0.06,-0.16,0.17
2.685,-0.01,-0.03,-0.14,0.14
2.694,-0.05,0.02,-0.12,0.13
2.704,-0.07,0.05,-0.08,0.12
2.714,-0.06,0.05,-0.03,0.08
2.724,-0.04,0.03,0.02,0.05
2.734,-0.01,0.01,0.07,0.07
2.744,0.03,-0.00,0.10,0.11
2.754,0.05,-0.01,0.13,0.14
2.764,0.07,0.00,0.15,0.17
2.774,0.12,0.02,0.17,0.21
2.784,0.16,0.00,0.16,0.23
2.794,0.18,0.01,0.15,0.23
2.804,0.21,-0.01,0.13,0.25
2.814,0.22,-0.02,0.12,0.25
2.824,0.22,0.00,0.12,0.25
2.834,0.20,0.01,0.12,0.23
2.844,0.18,0.03,0.13,0.22
2.854,0.14,0.03,0.11,0.18
2.864,0.09,0.03,0.11,0.15
2.874,0.05,0.01,0.12,0.13
2.884,0.00,0.03,0.12,0.12
2.894,-0.03,0.04,0.11,0.12
2.904,-0.07,0.07,0.10,0.14
2.914,-0.09,0.07,0.10,0.15
2.924,-0.10,0.05,0.11,0.16
2.934,-0.10,0.03,0.15,0.19
2.944,-0.09,-0.00,0.17,0.19
2.954,-0.09,0.01,0.19,0.21
2.964,-0.08,0.03,0.17,0.19
2.974,-0.05,0.04,0.17,0.18
2.984,-0.04,0.03,0.17,0.18
2.994,0.02,0.04,0.16,0.16
3.004,0.07,0.03,0.16,0.18
3.014,0.13,0.02,0.16,0.21
3.024,0.17,0.02,0.14,0.22
3.034,0.19,0.02,0.12,0.23
3.044,0.22,0.01,0.11,0.25
3.054,0.23,-0.00,0.11,0.26
3.064,0.26,-0.00,0.08,0.27
3.074,0.24,0.00,0.06,0.25
3.084,0.22,0.03,0.04,0.22
3.093,0.21,0.02,-0.01,0.21
3.103,0.19,0.02,-0.02,0.19
3.113,0.19,0.00,-0.06,0.19
3.123,0.17,0.03,-0.07,0.19
3.133,0.19,0.02,-0.11,0.21
3.143,0.19,0.01,-0.13,0.23
3.153,0.22,-0.02,-0.12,0.25
3.163,0.24,-0.04,-0.13,0.27
3.173,0.25,-0.06,-0.13,0.29
3.183,0.27,-0.04,-0.14,0.31
3.193,0.30,-0.01,-0.11,0.33
3.203,0.31,0.00,-0.12,0.33
3.213,0.33,0.02,-0.12,0.35
3.223,0.33,0.03,-0.10,0.34
3.233,0.30,0.01,-0.09,0.31
3.243,0.26,-0.00,-0.05,0.26
3.253,0.20,-0.01,-0.01,0.20
3.263,0.15,0.01,0.01,0.15
3.273,0.09,0.02,0.03,0.10
3.283,0.04,0.03,0.07,0.08
3.293,0.01,0.03,0.08,0.08
3.303,-0.03,0.00,0.10,0.10
3.313,-0.05,-0.02,0.14,0.15
3.323,-0.08,-0.01,0.14,0.17
3.333,-0.10,0.00,0.15,0.18
3.343,-0.11,0.02,0.17,0.21
3.353,-0.14,0.06,0.18,0.24
3.363,-0.15,0.06,0.19,0.25
3.373,-0.16,0.06,0.21,0.27
3.383,-0.18,0.05,0.20,0.27
3.393,-0.18,0.01,0.18,0.25
3.403,-0.19,-0.02,0.18,0.26
3.413,-0.18,-0.02,0.18,0.25
3.423,-0.16,-0.01,0.16,0.23
3.433,-0.14,-0.00,0.15,0.21
3.443,-0.12,0.00,0.14,0.18
3.453,-0.07,-0.03,0.13,0.15
3.463,-0.04,-0.05,0.12,0.14
3.473,-0.02,-0.08,0.10,0.13
3.483,-0.02,-0.07,0.09,0.12
3.493,-0.02,-0.02,0.09,0.10
3.503,0.02,0.03,0.08,0.09
3.513,0.01,0.05,0.09,0.10
3.523,0.01,0.04,0.06,0.08
3.533,-0.01,0.02,0.07,0.07
3.543,-0.04,0.01,0.07,0.08
3.553,-0.05,0.00,0.04,0.07
3.563,-0.04,-0.01,0.04,0.05
3.572,0.00,-0.00,0.04,0.04
3.582,0.02,0.01,0.06,0.06
3.592,0.05,0.03,0.05,0.07
3.603,0.10,0.03,0.04,0.12
3.612,0.13,0.04,0.05,0.15
3.622,0.16,0.04,0.05,0.17
3.632,0.19,0.03,0.05,0.20
3.642,0.21,0.00,0.06,0.21
3.652,0.19,-0.00,0.06,0.20
3.662,0.20,-0.02,0.06,0.21
3.672,0.19,0.00,0.07,0.20
3.682,0.19,0.01,0.06,0.20
3.692,0.16,0.00,0.06,0.17
3.702,0.13,0.01,0.02,0.13
3.712,0.13,0.02,-0.00,0.13
3.722,0.13,-0.00,-0.03,0.14
3.732,0.15,0.00,-0.07,0.16
3.742,0.15,-0.00,-0.07,0.16
3.752,0.16,-0.00,-0.10,0.19
3.762,0.19,-0.00,-0.10,0.21
3.772,0.17,-0.00,-0.08,0.19
