time,ax,ay,az,atotal
1.497,-0.04,0.05,-0.00,0.07
1.507,0.02,-0.01,0.07,0.07
1.517,-0.01,0.02,0.05,0.05
1.527,0.08,-0.01,0.04,0.09
1.537,0.05,-0.01,0.01,0.05
1.547,0.06,-0.01,0.00,0.07
1.557,0.01,0.00,-0.07,0.07
1.567,-0.01,0.01,-0.07,0.07
1.577,-0.01,0.02,-0.07,0.08
1.587,-0.00,0.02,-0.09,0.09
1.597,0.03,-0.00,-0.07,0.07
1.607,0.05,-0.01,-0.05,0.07
1.617,0.09,-0.03,-0.03,0.10
1.627,0.05,-0.03,-0.07,0.09
1.637,0.06,-0.03,-0.04,0.08
1.647,0.04,-0.02,-0.02,0.05
1.657,0.00,-0.00,-0.01,0.01
1.667,0.06,-0.02,-0.00,0.06
1.677,0.07,-0.02,0.01,0.08
1.687,0.08,-0.01,0.02,0.08
1.697,0.03,0.01,-0.01,0.04
1.707,0.03,-0.00,-0.03,0.04
1.717,-0.00,0.00,-0.03,0.03
1.727,0.07,0.00,-0.05,0.09
1.736,0.11,0.02,-0.12,0.16
1.747,0.06,-0.05,-0.04,0.09
1.756,0.03,-0.01,0.02,0.04
1.766,0.04,-0.01,0.07,0.09
1.776,0.05,-0.04,0.05,0.09
1.786,0.06,-0.02,0.04,0.07
1.796,0.02,-0.01,-0.02,0.03
1.807,-0.04,0.01,-0.02,0.05
1.816,-0.00,0.03,-0.04,0.04
1.826,0.01,0.05,-0.02,0.05
1.836,0.03,0.02,-0.02,0.04
1.846,0.08,-0.03,-0.03,0.09
1.856,0.13,-0.06,-0.05,0.15
1.866,0.15,-0.10,-0.04,0.19
1.876,0.09,-0.06,-0.05,0.12
1.886,0.04,-0.02,-0.10,0.11
1.896,-0.03,0.02,-0.10,0.11
1.906,-0.06,0.06,-0.16,0.19
1.916,-0.00,0.09,-0.12,0.15
1.926,0.02,0.07,-0.06,0.10
1.936,0.07,0.04,0.04,0.09
1.946,0.07,0.02,0.09,0.12
1.956,0.05,0.02,0.15,0.15
1.966,0.05,0.00,0.19,0.19
1.976,0.01,-0.00,0.20,0.20
1.986,-0.02,0.02,0.13,0.13
1.996,-0.00,-0.01,0.07,0.07
2.006,-0.00,-0.03,0.04,0.05
2.016,0.00,-0.01,-0.01,0.02
2.026,0.02,-0.02,-0.08,0.08
2.036,0.06,-0.05,-0.14,0.16
2.046,0.06,-0.05,-0.13,0.15
2.056,0.07,-0.01,-0.12,0.14
2.066,0.07,0.01,-0.13,0.15
2.076,0.05,-0.00,-0.12,0.13
2.086,-0.01,0.05,-0.14,0.15
2.096,-0.00,0.07,-0.12,0.14
2.106,-0.01,0.05,-0.08,0.09
2.116,0.03,0.03,-0.00,0.04
2.126,0.05,0.02,0.06,0.08
2.136,0.02,0.03,0.05,0.06
2.146,0.01,-0.01,0.05,0.06
2.156,0.04,-0.02,0.07,0.08
2.166,0.07,-0.04,0.06,0.10
2.175,0.06,-0.07,0.06,0.11
2.186,0.05,-0.07,0.05,0.10
2.196,0.06,-0.05,0.03,0.08
2.206,0.10,-0.03,0.06,0.12
2.216,0.03,-0.00,0.04,0.05
2.225,-0.08,0.04,-0.09,0.12
2.236,-0.04,0.07,-0.12,0.14
2.246,0.03,0.08,-0.09,0.12
2.256,0.06,0.07,-0.05,0.11
2.266,0.03,0.03,-0.07,0.08
2.275,0.03,0.00,-0.06,0.07
2.285,0.05,-0.00,-0.05,0.07
2.295,0.05,0.01,0.01,0.05
2.305,0.01,0.01,0.03,0.04
2.315,-0.01,0.00,0.02,0.02
2.325,0.00,0.01,0.00,0.01
2.335,0.02,-0.02,-0.03,0.04
2.345,0.02,-0.02,-0.03,0.04
2.355,0.01,-0.03,-0.02,0.04
2.365,0.03,-0.03,-0.00,0.04
2.375,0.02,-0.01,0.01,0.03
2.385,0.04,0.00,0.01,0.04
2.395,0.06,0.00,-0.01,0.06
2.405,0.08,0.02,0.01,0.08
2.415,0.06,0.03,-0.01,0.07
2.425,0.07,0.01,0.00,0.07
2.435,0.08,-0.00,0.01,0.08
2.445,-0.02,-0.01,-0.07,0.07
2.455,-0.01,-0.01,-0.05,0.05
2.465,0.01,-0.01,-0.02,0.03
2.475,0.00,-0.02,-0.02,0.02
2.485,0.03,-0.02,0.02,0.04
2.495,0.06,-0.02,0.04,0.07
2.505,0.04,-0.00,-0.03,0.05
2.515,0.03,0.00,-0.06,0.07
2.525,0.12,-0.01,0.03,0.12
2.535,0.03,0.01,-0.01,0.03
2.545,0.01,0.02,-0.06,0.06
2.555,0.08,0.03,-0.04,0.10
2.565,0.02,0.03,-0.03,0.05
2.575,-0.11,-0.00,-0.03,0.12
2.585,-0.04,0.02,-0.04,0.06
2.595,0.07,0.00,0.01,0.07
2.605,0.08,-0.02,0.03,0.09
2.615,0.05,0.01,-0.02,0.05
2.625,0.03,0.00,-0.01,0.03
2.635,0.04,-0.01,-0.01,0.04
2.645,0.04,0.01,-0.02,0.04
2.655,0.03,-0.00,-0.00,0.03
2.665,0.01,-0.00,0.01,0.01
2.675,-0.00,0.01,-0.00,0.01
2.685,0.03,-0.01,0.01,0.04
2.695,0.06,0.01,0.02,0.06
2.705,0.05,0.03,-0.04,0.07
2.715,0.02,0.02,-0.06,0.06
2.725,0.04,-0.00,-0.03,0.05
2.734,0.07,0.01,-0.01,0.07
2.745,0.04,-0.01,-0.03,0.05
2.754,0.02,-0.02,-0.05,0.06
2.764,0.04,-0.01,-0.03,0.05
2.774,0.07,-0.01,-0.00,0.07
2.784,0.07,-0.00,0.06,0.09
2.794,-0.08,0.01,-0.10,0.13
2.804,-0.03,0.02,-0.07,0.08
2.814,0.03,0.05,-0.01,0.06
2.824,0.04,0.03,0.05,0.07
2.834,0.03,-0.04,-0.00,0.05
2.844,0.09,-0.05,0.01,0.10
2.854,0.08,-0.03,0.02,0.09
2.864,0.02,-0.00,-0.01,0.02
2.874,-0.02,0.02,-0.04,0.05
2.884,0.06,0.03,-0.03,0.08
2.894,-0.04,0.01,-0.11,0.11
2.904,-0.01,0.01,-0.02,0.03
2.914,0.06,-0.00,0.01,0.06
2.924,0.15,-0.07,0.05,0.18
2.934,0.12,-0.07,0.03,0.14
2.944,0.04,-0.02,-0.01,0.04
2.954,-0.03,-0.00,-0.08,0.08
