time,wx,wy,wz
3.203,0.04,-0.15,0.02
3.220,0.04,-0.15,0.00
3.237,0.03,-0.13,-0.00
3.253,0.01,-0.12,-0.01
3.270,0.00,-0.12,-0.00
3.287,0.00,-0.12,0.00
3.303,0.01,-0.12,0.01
3.320,0.00,-0.11,0.02
3.337,-0.00,-0.10,0.03
3.353,-0.02,-0.07,0.03
3.370,-0.02,-0.05,0.03
3.387,-0.02,-0.04,0.01
3.403,-0.01,-0.03,-0.00
3.420,-0.00,-0.02,-0.01
3.437,0.00,-0.01,-0.01
3.453,0.02,-0.03,-0.02
3.470,0.07,-0.08,-0.01
3.503,0.06,-0.12,0.01
3.520,0.01,-0.17,0.05
3.536,0.02,-0.14,0.04
3.570,0.03,0.00,0.02
3.587,0.00,0.07,-0.00
3.603,-0.02,0.12,-0.01
3.624,-0.03,0.13,-0.02
3.637,-0.03,0.11,-0.01
3.653,-0.01,0.07,-0.00
3.669,-0.00,0.02,0.01
3.687,-0.01,-0.01,0.02
3.703,-0.01,-0.03,0.02
3.720,-0.00,-0.02,0.02
3.736,0.01,-0.01,0.01
3.753,0.02,-0.02,-0.00
3.770,0.03,-0.04,-0.00
3.787,0.03,-0.07,0.00
3.803,0.02,-0.09,0.00
3.820,0.01,-0.09,0.00
3.837,0.01,-0.07,0.00
3.853,0.00,-0.05,-0.00
3.870,0.00,-0.02,-0.00
3.887,-0.00,-0.00,-0.01
3.903,-0.01,0.03,-0.02
3.920,-0.01,0.05,-0.02
3.937,-0.00,0.06,-0.02
3.953,0.00,0.07,-0.01
3.970,0.01,0.07,-0.01
3.987,0.02,0.06,-0.01
4.003,0.02,0.06,-0.00
4.020,0.03,0.06,-0.00
4.037,0.02,0.04,-0.00
4.053,0.02,0.02,-0.01
4.087,0.02,0.02,-0.01
4.103,0.02,0.02,-0.01
4.120,0.03,0.00,-0.01
4.153,0.03,-0.04,-0.00
4.169,0.03,-0.03,-0.00
4.187,0.02,-0.02,-0.01
4.203,0.01,-0.01,-0.01
4.220,0.01,-0.00,-0.01
4.237,0.01,0.01,-0.00
4.253,0.01,0.01,-0.01
4.270,0.00,0.00,-0.00
4.287,-0.00,-0.00,-0.00
4.303,0.00,-0.00,0.00
4.320,0.01,0.00,-0.00
4.336,0.00,0.01,-0.01
4.353,-0.00,0.02,-0.01
4.370,-0.00,0.03,-0.01
4.387,-0.00,0.03,-0.01
4.403,0.00,0.02,-0.01
4.420,0.00,0.01,-0.02
4.437,-0.01,0.02,-0.01
4.453,-0.01,0.03,-0.01
4.470,-0.02,0.03,-0.01
4.486,-0.02,0.03,-0.01
4.503,-0.03,0.03,-0.00
4.520,-0.02,0.01,0.00
4.536,-0.02,0.01,0.00
4.553,-0.01,0.01,0.00
4.570,-0.00,0.02,0.01
4.587,-0.00,0.04,0.00
4.603,0.00,0.05,0.00
4.620,0.01,0.06,0.00
4.637,0.03,0.00,0.01
4.672,0.00,-0.02,0.01
4.687,-0.01,0.01,0.00
4.703,-0.02,0.04,-0.01
4.737,-0.03,0.06,-0.01
4.753,-0.03,0.03,-0.01
4.770,-0.03,0.01,0.00
4.787,-0.02,-0.01,0.01
4.803,-0.01,-0.03,0.01
4.820,-0.00,-0.04,0.01
4.837,0.01,-0.04,0.01
4.853,0.01,-0.02,0.01
4.869,0.01,-0.01,0.01
4.887,0.01,-0.01,0.01
4.903,0.01,-0.00,0.01
4.920,0.00,0.01,0.00
4.937,0.00,0.03,-0.00
4.953,0.01,0.05,-0.00
4.970,0.01,0.05,-0.00
4.987,0.01,0.04,-0.01
5.003,0.00,0.02,-0.01
5.019,-0.00,0.01,-0.01
5.037,-0.01,0.01,-0.01
5.053,-0.01,0.01,-0.02
5.070,-0.01,0.00,-0.02
5.087,-0.00,-0.00,-0.01
5.103,-0.00,-0.01,-0.01
5.120,-0.00,-0.02,-0.00
5.136,-0.00,-0.02,-0.00
5.153,-0.00,-0.01,-0.00
5.170,0.01,-0.01,0.00
5.186,0.01,-0.01,0.00
5.203,0.02,-0.02,0.00
5.220,0.02,-0.02,0.00
5.253,0.02,-0.02,-0.00
5.270,0.01,-0.01,-0.01
5.287,-0.00,-0.01,-0.01
5.320,-0.01,0.01,-0.01
5.337,-0.01,0.02,-0.01
5.353,-0.01,0.02,-0.01
5.370,-0.01,0.03,-0.01
5.387,-0.01,0.02,-0.01
5.403,-0.01,0.02,-0.01
5.420,0.00,0.01,-0.01
5.437,0.01,0.01,-0.01
5.453,0.01,0.00,-0.01
5.470,0.01,0.01,-0.00
5.487,0.01,0.00,-0.00
5.503,0.01,0.00,-0.01
5.520,0.01,0.00,-0.01
5.536,0.01,0.01,-0.01
5.553,0.00,0.01,-0.01
5.570,-0.00,0.02,-0.01
5.587,-0.00,0.01,-0.01
5.603,-0.00,0.01,-0.00
5.620,-0.00,0.02,-0.01
5.636,-0.01,0.02,-0.01
5.653,-0.02,0.02,-0.01
5.670,-0.01,0.02,-0.01
5.686,-0.01,0.01,-0.01
5.703,-0.00,0.00,-0.01
5.720,-0.01,0.00,-0.01
5.736,-0.01,0.01,-0.01
5.753,-0.01,0.01,-0.01
5.770,0.00,0.00,-0.01
5.786,0.01,-0.01,-0.01
5.803,0.00,-0.01,-0.00
5.820,0.00,-0.01,0.00
5.836,0.00,-0.01,-0.00
5.853,-0.00,0.00,-0.00
5.870,-0.01,0.02,-0.01
5.903,-0.01,0.03,-0.01
5.920,-0.01,0.00,-0.01
5.936,-0.02,-0.00,-0.01
5.970,-0.02,0.01,-0.01
5.986,-0.01,0.01,-0.00
6.003,-0.01,0.01,-0.00
6.020,-0.01,0.00,-0.00
6.036,-0.01,-0.01,-0.00
6.053,-0.00,-0.01,-0.00
6.070,0.00,0.00,-0.00
6.086,0.00,0.01,-0.01
6.103,-0.00,0.01,-0.01
6.120,-0.01,0.01,-0.01
6.137,-0.01,-0.00,-0.00
6.154,-0.01,-0.01,-0.00
6.170,-0.01,-0.00,-0.01
6.187,-0.02,0.01,-0.01
6.203,-0.02,0.02,-0.01
6.220,-0.01,0.02,-0.01
6.236,-0.01,0.02,-0.01
6.253,-0.01,0.01,-0.00
6.270,-0.01,0.00,0.00
6.286,-0.00,-0.01,0.01
6.303,0.00,-0.01,0.01
6.320,-0.00,-0.01,0.01
6.336,-0.01,0.00,0.01
6.353,-0.01,0.01,0.01
6.370,-0.01,0.02,0.00
6.386,-0.00,0.02,-0.00
6.403,-0.01,0.02,-0.01
6.420,-0.01,0.02,-0.01
6.436,-0.01,0.02,-0.01
6.453,-0.01,0.01,-0.01
6.486,-0.00,-0.00,-0.00
6.503,-0.01,-0.01,0.00
6.520,-0.01,-0.02,0.00
6.553,-0.01,-0.01,-0.01
6.570,-0.01,0.00,-0.01
6.586,-0.00,0.00,-0.01
6.603,0.00,-0.00,-0.00
6.621,0.00,-0.01,-0.00
6.637,0.00,-0.02,-0.00
6.654,-0.00,-0.02,0.00
6.670,-0.00,-0.02,-0.00
6.687,-0.00,-0.01,-0.00
6.703,-0.01,-0.00,-0.01
6.720,-0.01,0.01,-0.01
6.736,-0.01,0.01,-0.01
6.753,-0.01,0.01,-0.01
6.770,-0.01,0.01,-0.01
6.786,-0.01,0.01,-0.00
6.803,-0.01,0.01,0.00
6.819,-0.00,-0.00,0.01
6.836,-0.00,-0.01,0.01
6.853,-0.00,-0.02,0.01
6.870,-0.00,-0.02,0.00
6.886,0.00,-0.01,-0.00
6.903,0.01,-0.01,-0.01
6.920,0.01,-0.02,-0.01
6.936,-0.00,-0.03,-0.01
6.953,-0.01,-0.04,-0.02
6.970,-0.03,-0.03,-0.02
6.986,-0.04,0.00,-0.03
7.003,-0.05,0.05,-0.03
7.020,-0.06,0.10,-0.04
7.036,-0.07,0.09,-0.05
7.070,-0.06,0.06,-0.04
7.086,-0.06,0.02,-0.02
7.103,-0.05,0.00,-0.01
7.137,-0.01,-0.01,0.01
7.153,0.01,-0.03,0.02
7.170,0.02,-0.04,0.03
7.186,0.04,-0.05,0.04
7.203,0.05,-0.06,0.05
7.220,0.06,-0.07,0.04
7.236,0.03,-0.07,0.04
7.253,-0.00,-0.04,0.03
7.270,-0.01,0.01,0.02
7.286,0.01,0.06,0.01
7.303,0.02,0.09,-0.00
7.320,0.01,0.10,-0.01
7.336,-0.01,0.09,-0.01
7.353,-0.02,0.06,-0.01
7.370,-0.03,0.04,-0.02
7.386,-0.03,0.04,-0.03
7.404,-0.04,0.05,-0.04
7.420,-0.04,0.08,-0.04
7.437,-0.04,0.08,-0.04
7.453,-0.03,0.07,-0.03
7.470,-0.02,0.05,-0.02
7.486,-0.01,0.03,-0.01
7.503,-0.01,0.01,-0.01
7.520,0.00,-0.00,-0.00
7.536,0.01,-0.00,-0.01
7.553,0.01,0.00,-0.01
7.570,0.02,0.01,-0.01
7.586,0.02,0.01,-0.00
7.603,0.02,0.01,0.00
7.620,0.01,-0.01,0.01
7.653,0.00,-0.01,0.01
7.670,0.00,0.05,0.00
7.686,0.00,0.06,-0.00
7.720,0.01,0.03,-0.00
7.736,0.01,0.00,0.00
7.753,0.01,-0.01,0.00
7.770,0.00,-0.02,-0.00
7.786,-0.00,-0.00,0.00
7.803,0.00,0.00,0.00
7.822,0.00,-0.00,0.01
7.836,0.01,-0.02,0.01
7.853,0.02,-0.03,0.01
7.870,0.02,-0.05,0.02
7.886,0.02,-0.07,0.01
7.903,0.02,-0.07,-0.00
7.920,0.02,-0.06,-0.00
7.936,0.03,-0.05,0.00
7.953,0.03,-0.04,0.00
7.970,0.02,-0.03,0.01
7.986,0.02,-0.03,0.01
8.003,0.02,-0.03,0.01
8.020,0.02,-0.04,0.00
8.036,0.01,-0.04,-0.01
8.053,0.00,-0.03,-0.01
8.070,-0.00,-0.02,-0.01
8.086,-0.01,-0.01,-0.01
8.103,-0.02,-0.01,-0.00
8.120,-0.02,-0.02,0.01
8.137,-0.01,-0.04,0.01
8.153,0.01,-0.05,0.01
8.170,0.01,-0.04,0.01
8.186,0.01,-0.01,0.01
8.203,0.01,0.02,0.00
8.220,0.02,0.03,0.00
8.236,0.01,0.01,0.00
8.253,0.02,-0.02,-0.00
8.270,0.02,-0.08,0.01
8.303,0.01,-0.07,0.00
8.320,-0.00,-0.01,-0.00
8.336,-0.01,0.01,-0.00
8.370,-0.01,-0.00,-0.00
8.386,-0.01,-0.02,0.00
8.404,-0.01,-0.05,0.00
8.420,-0.01,-0.06,-0.01
8.436,-0.01,-0.05,-0.02
8.453,0.00,-0.02,-0.02
8.470,0.00,0.01,-0.02
8.487,0.00,0.03,-0.02
8.503,0.01,0.02,-0.01
8.520,0.02,-0.01,-0.00
8.536,0.02,-0.06,0.01
8.553,0.02,-0.08,0.00
8.570,0.01,-0.05,0.00
8.586,0.00,-0.01,-0.01
8.603,-0.00,0.02,-0.02
8.620,-0.01,0.01,-0.02
8.636,-0.02,-0.01,-0.02
8.653,-0.02,-0.02,-0.02
8.670,-0.02,-0.00,-0.01
8.687,-0.02,0.02,-0.01
8.703,-0.02,0.03,-0.01
8.719,-0.01,0.04,-0.00
8.736,-0.01,0.02,0.00
8.753,0.00,0.01,0.00
8.770,0.01,0.01,0.00
8.786,0.01,0.02,0.00
8.803,-0.00,0.03,-0.00
8.820,-0.01,0.05,-0.01
8.837,-0.02,0.06,-0.01
8.853,-0.02,0.07,-0.02
8.886,-0.02,0.06,-0.01
8.903,-0.02,0.01,-0.00
8.920,-0.02,-0.00,-0.00
8.953,-0.01,0.01,-0.00
8.970,-0.01,0.02,-0.00
8.986,-0.01,0.02,-0.01
9.003,-0.02,0.03,-0.01
9.020,-0.01,0.03,-0.01
