time,ax,ay,az,atotal
1.457,4.21,-3.55,-4.15,6.89
1.467,3.75,-4.48,-2.33,6.29
1.477,2.91,-4.50,1.64,5.60
1.487,2.05,-3.22,5.26,6.50
1.497,2.03,-2.67,6.64,7.44
1.507,1.79,-1.52,5.55,6.02
1.517,2.72,-0.96,3.95,4.89
1.527,3.82,-0.96,3.02,4.97
1.537,4.77,-0.50,2.44,5.38
1.547,5.69,0.11,2.39,6.17
1.557,6.06,0.95,2.68,6.69
1.567,6.43,1.07,2.69,7.05
1.576,6.12,0.87,1.69,6.41
1.587,4.82,0.54,-0.53,4.88
1.596,2.65,-0.73,-1.91,3.34
1.607,0.38,-1.92,-2.33,3.04
1.617,-1.97,-3.29,-3.18,4.99
1.626,-3.91,-4.19,-4.05,7.02
1.636,-5.07,-4.31,-4.22,7.88
1.647,-5.75,-3.85,-3.51,7.76
1.656,-6.60,-2.78,-2.99,7.75
1.666,-7.11,-2.24,-2.58,7.89
1.676,-6.78,-2.06,-2.03,7.37
1.686,-5.58,-1.59,-1.28,5.94
1.696,-3.82,-0.72,-0.72,3.96
1.706,-2.19,0.56,-0.50,2.32
1.716,-1.08,1.32,-0.47,1.77
1.726,-0.48,1.53,0.27,1.63
1.736,-0.06,1.60,1.75,2.38
1.746,0.42,1.60,3.84,4.18
1.756,0.69,1.64,4.73,5.05
1.766,0.72,1.67,3.98,4.38
1.776,0.72,1.98,2.56,3.32
1.786,0.59,2.55,1.09,2.84
1.796,0.82,3.26,-0.07,3.37
1.806,1.14,3.71,-0.81,3.97
1.816,1.49,4.13,-1.06,4.51
1.826,1.89,4.49,-0.96,4.97
1.836,2.44,4.75,-0.77,5.40
1.846,2.67,4.59,-0.57,5.34
1.856,2.26,3.98,-0.41,4.59
1.866,3.21,5.03,-0.22,5.97
1.876,4.02,5.75,-0.08,7.02
1.886,3.92,6.38,0.40,7.50
1.896,3.31,7.00,0.80,7.79
1.906,2.32,7.17,0.80,7.57
1.916,0.69,2.74,-0.07,2.82
1.926,-0.99,-5.02,0.92,5.20
1.936,-0.52,-14.31,0.52,14.33
1.946,0.18,-21.64,-1.87,21.72
1.956,-2.79,-24.37,-3.30,24.75
1.966,-3.82,-21.44,-3.81,22.10
1.976,-2.81,-15.12,-3.30,15.73
1.986,-1.44,-7.73,-2.01,8.12
1.996,0.11,-2.25,-1.41,2.66
2.006,1.29,1.40,-0.88,2.10
2.015,2.07,3.71,-0.25,4.25
2.026,2.55,5.12,0.28,5.73
2.036,2.85,5.92,0.75,6.62
2.046,3.07,6.05,1.24,6.90
2.055,3.17,5.46,1.64,6.52
2.065,2.80,4.10,2.02,5.36
2.075,1.99,2.20,2.36,3.79
2.086,1.10,0.37,2.16,2.45
2.095,0.43,-0.98,1.26,1.65
2.105,0.08,-1.82,0.15,1.83
2.115,-0.15,-2.34,-0.77,2.47
2.125,-0.10,-2.54,-1.21,2.81
2.135,0.18,-2.38,-1.13,2.65
2.145,0.47,-1.94,-0.45,2.04
2.155,0.67,-1.18,0.80,1.57
2.165,0.68,-0.44,1.59,1.78
2.175,0.44,0.15,1.54,1.60
2.185,0.11,0.49,1.00,1.11
2.195,-0.15,0.64,0.33,0.74
2.205,-0.24,0.32,-0.18,0.44
2.215,-0.18,0.06,-0.41,0.45
2.225,-0.07,-0.07,-0.52,0.53
2.235,-0.02,-0.16,-0.53,0.56
2.245,-0.06,-0.13,-0.45,0.47
2.255,-0.19,-0.05,-0.34,0.39
2.265,-0.29,0.04,-0.28,0.40
2.275,-0.39,0.13,-0.26,0.49
2.285,-0.37,0.19,-0.29,0.51
2.295,-0.28,0.21,-0.36,0.50
2.305,-0.26,0.22,-0.41,0.54
2.315,-0.22,0.17,-0.45,0.53
2.325,-0.07,0.08,-0.45,0.46
2.335,0.11,-0.03,-0.46,0.47
2.345,0.19,-0.09,-0.41,0.46
2.355,0.23,-0.13,-0.36,0.45
2.365,0.32,-0.16,-0.30,0.46
2.375,0.39,-0.15,-0.21,0.47
2.385,0.47,-0.15,-0.09,0.50
2.395,0.52,-0.13,0.05,0.54
2.405,0.57,-0.13,0.17,0.61
2.415,0.57,-0.12,0.26,0.64
2.425,0.53,-0.11,0.29,0.62
2.435,0.45,-0.10,0.29,0.54
2.445,0.34,-0.10,0.30,0.46
2.455,0.25,-0.08,0.30,0.40
2.465,0.19,-0.07,0.26,0.33
2.475,0.15,-0.04,0.20,0.25
2.485,0.12,-0.01,0.14,0.19
2.494,0.09,0.01,0.04,0.09
2.505,0.04,0.03,-0.06,0.08
2.515,-0.04,0.07,-0.15,0.17
2.525,-0.05,0.07,-0.24,0.25
2.534,0.01,0.08,-0.30,0.31
2.545,-0.05,0.17,-0.31,0.36
2.554,-0.04,0.08,-0.35,0.36
2.564,0.08,-0.00,-0.37,0.38
2.574,0.11,0.10,-0.32,0.35
2.584,0.11,0.12,-0.25,0.30
2.594,0.11,0.10,-0.13,0.19
2.604,0.04,0.16,-0.06,0.18
2.614,-0.23,0.08,-0.11,0.27
2.624,-0.83,0.20,0.00,0.86
2.634,-1.07,-0.09,0.01,1.08
2.644,-0.37,-0.35,-0.31,0.59
2.654,0.84,-0.06,-0.33,0.91
2.664,1.56,0.08,-0.21,1.58
2.674,1.46,-0.02,0.03,1.46
2.684,0.84,-0.18,0.49,0.99
2.694,0.35,-0.26,0.84,0.95
2.704,0.05,-0.20,0.86,0.89
2.714,-0.05,-0.08,0.63,0.63
2.724,0.04,-0.07,0.32,0.32
2.734,0.09,-0.04,0.09,0.13
2.744,0.06,0.03,-0.04,0.08
2.754,0.04,0.05,-0.12,0.13
2.764,0.00,0.04,-0.18,0.18
2.774,-0.02,0.04,-0.21,0.21
2.784,-0.03,0.02,-0.23,0.24
2.794,0.01,-0.00,-0.27,0.27
2.804,0.04,0.02,-0.26,0.26
2.814,0.02,0.07,-0.25,0.26
2.824,0.00,0.12,-0.24,0.27
2.834,-0.00,0.14,-0.19,0.23
2.844,0.06,0.13,-0.12,0.18
2.854,0.15,0.11,-0.03,0.19
2.864,0.21,0.08,0.06,0.24
2.874,0.25,0.04,0.11,0.28
2.884,0.23,-0.01,0.14,0.27
2.894,0.20,-0.07,0.16,0.27
2.904,0.12,-0.10,0.18,0.24
2.913,0.04,-0.10,0.16,0.20
2.924,-0.02,-0.09,0.17,0.19
2.934,-0.05,-0.08,0.14,0.17
2.944,-0.05,-0.06,0.10,0.13
2.953,0.00,-0.05,0.03,0.06
2.963,0.10,-0.06,-0.04,0.12
2.973,0.20,-0.07,-0.11,0.25
2.983,0.31,-0.08,-0.19,0.37
2.993,0.38,-0.10,-0.23,0.45
3.003,0.42,-0.08,-0.24,0.49
3.013,0.40,-0.07,-0.23,0.47
3.023,0.35,-0.06,-0.18,0.40
3.033,0.29,-0.05,-0.10,0.31
3.043,0.21,-0.02,-0.06,0.22
3.053,0.13,0.01,-0.01,0.13
3.063,0.06,0.01,0.04,0.07
3.073,0.00,0.01,0.07,0.07
3.083,-0.02,0.01,0.08,0.08
3.093,-0.04,0.05,0.07,0.09
3.103,-0.08,0.06,0.05,0.11
3.113,-0.09,0.06,0.03,0.11
3.123,-0.11,0.06,0.01,0.12
3.133,-0.11,0.03,-0.01,0.11
3.143,-0.09,0.00,-0.03,0.09
3.153,-0.06,-0.01,-0.03,0.07
3.163,-0.01,-0.02,-0.02,0.03
3.173,0.04,-0.02,-0.01,0.04
3.183,0.07,-0.01,-0.00,0.07
3.193,0.12,-0.02,-0.02,0.12
3.203,0.18,-0.02,-0.02,0.18
3.213,0.20,-0.05,-0.01,0.21
3.223,0.25,-0.07,-0.01,0.26
3.233,0.28,-0.08,0.01,0.29
3.243,0.26,-0.05,0.03,0.27
3.253,0.26,-0.01,0.02,0.26
3.263,0.24,0.02,-0.02,0.24
3.273,0.21,0.05,-0.05,0.23
3.283,0.18,0.06,-0.09,0.21
3.293,0.16,0.07,-0.11,0.21
3.303,0.11,0.06,-0.13,0.18
3.313,0.06,0.07,-0.15,0.17
3.323,0.04,0.08,-0.14,0.16
3.333,-0.00,0.09,-0.13,0.16
3.343,-0.05,0.09,-0.12,0.16
3.353,-0.05,0.05,-0.10,0.12
3.363,-0.02,0.01,-0.09,0.09
3.373,0.00,-0.03,-0.07,0.08
3.383,0.05,-0.02,-0.05,0.07
3.392,0.09,0.02,-0.02,0.10
3.403,0.13,0.04,0.04,0.14
3.412,0.18,0.03,0.08,0.20
3.422,0.22,-0.01,0.14,0.26
3.432,0.22,-0.08,0.17,0.29
3.443,0.24,-0.13,0.18,0.33
3.452,0.26,-0.13,0.18,0.34
3.462,0.29,-0.11,0.17,0.35
3.472,0.29,-0.07,0.14,0.33
3.482,0.27,-0.09,0.13,0.31
3.492,0.23,-0.08,0.13,0.28
