time,wx,wy,wz
1.836,0.01,0.00,-0.01
1.846,0.01,0.01,-0.00
1.856,0.01,0.00,-0.01
1.866,0.01,0.01,-0.01
1.876,0.01,0.00,-0.00
1.886,0.01,0.00,0.00
1.896,0.02,0.01,-0.00
1.906,0.01,0.00,-0.00
1.916,0.00,0.00,-0.00
1.926,0.00,0.00,-0.01
1.936,0.00,0.00,-0.00
1.946,-0.00,0.01,-0.00
1.956,-0.00,0.00,-0.00
1.966,-0.00,0.00,-0.00
1.976,-0.00,0.00,-0.00
1.986,0.00,0.00,-0.00
1.996,0.00,0.01,-0.00
2.006,-0.00,0.00,-0.00
2.016,-0.01,0.00,0.00
2.026,-0.01,0.00,0.00
2.036,-0.01,0.00,0.00
2.046,-0.01,0.00,0.00
2.056,-0.00,0.00,-0.00
2.066,-0.00,0.01,0.00
2.076,-0.00,0.01,-0.00
2.086,0.00,0.01,-0.00
2.096,0.00,0.01,-0.00
2.106,0.01,0.01,-0.00
2.116,0.01,0.01,-0.00
2.126,0.02,0.01,-0.00
2.136,0.01,0.00,-0.00
2.146,0.01,0.00,-0.00
2.156,0.02,0.00,-0.00
2.166,0.02,0.00,-0.00
2.176,0.01,0.00,-0.00
2.186,0.00,0.00,-0.01
2.196,-0.00,0.00,-0.01
2.206,-0.01,0.00,-0.00
2.216,-0.01,0.00,-0.00
2.226,-0.01,0.00,-0.00
2.236,-0.02,0.01,-0.00
2.245,-0.02,0.01,-0.01
2.255,-0.02,0.01,-0.00
2.265,-0.02,0.01,-0.00
2.275,-0.01,0.01,-0.00
2.285,0.00,0.01,-0.00
2.295,0.00,0.01,-0.00
2.305,0.00,0.00,-0.01
2.315,0.01,0.00,-0.01
2.325,0.01,0.00,-0.00
2.335,0.02,0.00,-0.00
2.345,0.02,0.01,-0.00
2.355,0.02,0.01,-0.01
2.365,0.02,0.01,-0.01
2.375,0.01,0.00,-0.01
2.385,0.01,-0.00,-0.01
2.395,0.01,0.00,-0.01
2.405,0.01,0.00,-0.01
2.415,0.01,0.00,-0.01
2.425,0.01,0.01,-0.01
2.435,0.01,0.01,-0.01
2.445,0.01,0.01,-0.01
2.455,0.01,0.01,-0.01
2.465,0.00,0.01,-0.01
2.475,0.00,0.01,-0.00
2.485,0.00,0.01,-0.00
2.495,0.00,0.01,-0.00
2.505,0.00,0.00,-0.00
2.515,0.01,0.00,-0.01
2.525,0.01,0.00,-0.01
2.535,0.02,0.01,-0.01
2.545,0.01,0.01,-0.01
2.555,0.01,0.01,-0.00
2.565,0.00,0.00,-0.00
2.575,0.00,0.01,0.00
2.585,0.00,0.01,-0.00
2.595,0.00,0.00,-0.00
2.605,0.00,0.01,-0.00
2.615,0.00,0.01,-0.00
2.625,0.00,0.00,-0.00
2.635,0.00,0.00,-0.00
2.645,0.00,0.00,-0.00
2.655,0.00,0.00,-0.00
2.665,0.01,0.00,-0.00
2.675,0.01,0.00,-0.00
2.685,0.01,0.01,-0.01
2.695,0.01,0.00,-0.00
2.705,0.00,0.00,-0.01
2.715,0.00,0.01,-0.01
2.725,0.00,0.00,-0.01
2.735,0.00,0.01,-0.00
2.745,-0.00,0.00,-0.00
2.754,-0.00,0.01,-0.00
2.764,-0.00,0.01,-0.01
2.774,-0.01,0.01,-0.01
2.784,-0.01,0.01,-0.01
2.794,-0.01,0.01,-0.01
2.804,-0.01,0.00,-0.01
2.814,-0.01,0.00,-0.01
2.824,-0.01,0.01,-0.01
2.834,-0.01,0.00,-0.01
